"ONS_Code","PCV_12m","PCV_24m","Population_12m","Population_24m","Year","Quarter","Timepoint","Vaccine_Schedule","UTLA_Name"
"E08000032",95.9122632103689,94.7761194029851,2006,2010,"2013/2014","Q3","2","0",NA
"E08000033",96.9740634005764,94.6483180428134,694,654,"2013/2014","Q3","2","0",NA
"E08000017",95.5742887249736,94.3661971830986,949,923,"2013/2014","Q3","2","0",NA
"E06000011",97.0666666666667,96.4329643296433,750,813,"2013/2014","Q3","2","0",NA
"E06000010",95.0050968399592,95.1724137931034,981,1015,"2013/2014","Q3","2","0",NA
"E08000034",97.1872686898594,96.5469613259668,1351,1448,"2013/2014","Q3","2","0",NA
"E08000035",95.9954233409611,95.1888667992048,2622,2515,"2013/2014","Q3","2","0",NA
"E06000012",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q3","2","0",NA
"E06000013",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q3","2","0",NA
"E10000023",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q3","2","0",NA
"E08000018",96.3494132985658,93.732970027248,767,734,"2013/2014","Q3","2","0",NA
"E08000019",93.452380952381,90.8198614318707,1680,1732,"2013/2014","Q3","2","0",NA
"E08000036",97.361237488626,96.605504587156,1099,1090,"2013/2014","Q3","2","0",NA
"E06000014",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q3","2","0",NA
"E06000015",94.4600938967136,94.5714285714286,1065,1050,"2013/2014","Q3","2","0",NA
"E10000007",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q3","2","0",NA
"E06000016",96.0516324981018,97.0632530120482,1317,1328,"2013/2014","Q3","2","0",NA
"E10000018",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q3","2","0",NA
"E10000019",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q3","2","0",NA
"E10000021",97.4095578383207,96.5471447543161,2239,2259,"2013/2014","Q3","2","0",NA
"E06000018",93.0026572187777,91.2107623318386,1129,1115,"2013/2014","Q3","2","0",NA
"E10000024",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q3","2","0",NA
"E06000017",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q3","2","0",NA
"E08000025",91.1604714415231,88.8737820077045,4412,4413,"2013/2014","Q3","2","0",NA
