ONS_Code,Population_12m,PCV_12m,Population_24m,PCV_24m,Year,Quarter,Timepoint,Vaccine_Schedule
E10000008,1644,95.5596107055961,1706,94.3728018757327,2020/2021,Q2,1,1
E06000059,674,95.8456973293769,716,94.9720670391062,2020/2021,Q2,1,1
E10000013,1667,95.1409718056389,1705,94.7214076246334,2020/2021,Q2,1,1
E10000027,1417,94.4954128440367,1390,91.3669064748201,2020/2021,Q2,1,1
E06000058,963,94.4963655244029,1104,92.1195652173913,2020/2021,Q2,1,1
E06000001,216,93.5185185185185,282,95.0354609929078,2020/2021,Q3,2,1
E06000002,443,90.293453724605,455,91.6483516483517,2020/2021,Q3,2,1
E06000003,345,94.4927536231884,348,94.8275862068966,2020/2021,Q3,2,1
E06000004,494,94.9392712550607,539,95.7328385899815,2020/2021,Q3,2,1
E06000005,277,92.057761732852,277,94.5848375451263,2020/2021,Q3,2,1
E06000047,1136,97.4471830985916,1272,97.1698113207547,2020/2021,Q3,2,1
E08000021,694,91.4985590778098,798,93.3583959899749,2020/2021,Q3,2,1
E08000022,500,97,602,96.6777408637874,2020/2021,Q3,2,1
E08000023,376,97.8723404255319,408,95.5882352941177,2020/2021,Q3,2,1
E08000024,599,98.1636060100167,660,98.7878787878788,2020/2021,Q3,2,1
E08000037,462,94.5887445887446,486,96.2962962962963,2020/2021,Q3,2,1
E06000057,669,92.3766816143498,784,95.0255102040816,2020/2021,Q3,2,1
E06000006,344,91.5697674418605,336,90.1785714285714,2020/2021,Q3,2,1
E06000007,505,95.2475247524752,557,93.1777378815081,2020/2021,Q3,2,1
E06000008,506,90.1185770750988,512,92.96875,2020/2021,Q3,2,1
E06000009,423,94.5626477541371,431,90.9512761020882,2020/2021,Q3,2,1
E06000049,983,94.5066124109868,1009,93.8553022794846,2020/2021,Q3,2,1
E06000050,879,94.9943117178612,839,94.3980929678188,2020/2021,Q3,2,1
E08000001,949,91.7808219178082,913,94.5235487404162,2020/2021,Q3,2,1
E08000002,515,87.7669902912621,570,90.5263157894737,2020/2021,Q3,2,1
E08000003,1808,87.6659292035398,1879,87.2804683342203,2020/2021,Q3,2,1
E08000004,772,90.0259067357513,854,90.2810304449649,2020/2021,Q3,2,1
E08000005,715,91.8881118881119,700,90.7142857142857,2020/2021,Q3,2,1
E08000006,875,86.9714285714286,865,90.4046242774566,2020/2021,Q3,2,1
E08000007,840,93.4523809523809,840,93.5714285714286,2020/2021,Q3,2,1
E08000008,628,91.5605095541401,650,94.1538461538462,2020/2021,Q3,2,1
E08000009,560,94.4642857142857,682,93.841642228739,2020/2021,Q3,2,1
E08000010,848,94.6933962264151,850,95.4117647058824,2020/2021,Q3,2,1
E08000011,473,86.4693446088795,493,82.3529411764706,2020/2021,Q3,2,1
E08000012,1422,87.7637130801688,1519,85.5167873601053,2020/2021,Q3,2,1
E08000013,448,89.0625,543,91.8968692449356,2020/2021,Q3,2,1
E08000014,593,90.893760539629,642,88.785046728972,2020/2021,Q3,2,1
E08000015,765,92.9411764705882,826,93.2203389830508,2020/2021,Q3,2,1
E10000006,1050,94.952380952381,1150,96.6086956521739,2020/2021,Q3,2,1
E10000017,2924,89.124487004104,3128,88.3951406649616,2020/2021,Q3,2,1
E06000010,846,94.5626477541371,842,91.5676959619953,2020/2021,Q3,2,1
E06000011,619,95.9612277867528,654,96.7889908256881,2020/2021,Q3,2,1
E06000012,415,95.1807228915663,427,96.2529274004684,2020/2021,Q3,2,1
E06000013,407,89.6805896805897,441,92.9705215419501,2020/2021,Q3,2,1
E06000014,403,95.5334987593052,488,94.0573770491803,2020/2021,Q3,2,1
E08000016,726,95.7300275482094,697,93.974175035868,2020/2021,Q3,2,1
E08000017,854,90.3981264637002,847,90.4368358913814,2020/2021,Q3,2,1
E08000018,698,96.9914040114613,724,97.0994475138122,2020/2021,Q3,2,1
E08000019,1471,91.7743031951054,1530,93.4640522875817,2020/2021,Q3,2,1
E08000032,1753,89.4466628636623,1900,88.5263157894737,2020/2021,Q3,2,1
E08000033,558,89.068100358423,565,89.9115044247788,2020/2021,Q3,2,1
E08000034,1215,93.3333333333333,1240,94.0322580645161,2020/2021,Q3,2,1
E08000035,2285,89.8030634573304,2483,89.1260571888844,2020/2021,Q3,2,1
E08000036,1006,95.1292246520875,1012,95.2569169960474,2020/2021,Q3,2,1
E10000023,1198,95.1585976627713,1310,93.4351145038168,2020/2021,Q3,2,1
E06000015,771,89.2347600518807,905,88.7292817679558,2020/2021,Q3,2,1
